Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
    /META-INF/jars/fabric-data-generation-api-v1-20.2.28+2d91a6db19.jar         | fabric_data_generation_api_v1            | fabric-data-generation-api-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.7.0+1af6e62419.jar                 | fabric_entity_events_v1                  | fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.7.13+7b71cc1619.jar           | fabric_events_interaction_v0             | fabric-events-interaction-v0.mixins.json, fabric-events-interaction-v0.client.mixins.json
    /META-INF/jars/fabric-game-rule-api-v1-1.0.53+36d727be19.jar                | fabric_game_rule_api_v1                  | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jars/fabric-gametest-api-v1-2.0.5+29f188ce19.jar                  | fabric_gametest_api_v1                   | fabric-gametest-api-v1.mixins.json
    /META-INF/jars/fabric-item-api-v1-11.1.1+57cdfa8219.jar                     | fabric_item_api_v1                       | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jars/fabric-item-group-api-v1-4.1.7+e324903319.jar                | fabric_item_group_api_v1                 | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-1.0.47+62cc7ce119.jar              | fabric_key_binding_api_v1                | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-lifecycle-events-v1-2.5.0+a2ee258a19.jar              | fabric_lifecycle_events_v1               | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-loot-api-v2-3.0.15+a3ee712d19.jar                     | fabric_loot_api_v2                       | fabric-loot-api-v2.mixins.json
    /META-INF/jars/fabric-loot-api-v3-1.0.3+333dfad919.jar                      | fabric_loot_api_v3                       | fabric-loot-api-v3.mixins.json
    /META-INF/jars/fabric-message-api-v1-6.0.13+e053909619.jar                  | fabric_message_api_v1                    | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jars/fabric-model-loading-api-v1-2.0.0+986ae77219.jar             | fabric_model_loading_api_v1              | fabric-model-loading-api-v1.mixins.json
    /META-INF/jars/fabric-networking-api-v1-4.3.0+30a980d919.jar                | fabric_networking_api_v1                 | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-object-builder-api-v1-15.2.1+cc242efd19.jar           | fabric_object_builder_api_v1             | fabric-object-builder-v1.mixins.json
    /META-INF/jars/fabric-particles-v1-4.0.2+824f924c19.jar                     | fabric_particles_v1                      | fabric-particles-v1.client.mixins.json
    /META-INF/jars/fabric-recipe-api-v1-5.0.14+59440bcc19.jar                   | fabric_recipe_api_v1                     | fabric-recipe-api-v1.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-5.2.0+867470b919.jar                 | fabric_registry_sync_v0                  | fabric-registry-sync-v0.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-3.4.0+9c40919e19.jar                  | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-1.7.0+4198af7119.jar                  | fabric_renderer_indigo                   | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.3.49+73761d2e19.jar    | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-3.1.6+857185bc19.jar              | fabric_rendering_fluids_v1               | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-rendering-v1-5.0.5+c290471319.jar                     | fabric_rendering_v1                      | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-conditions-api-v1-4.3.0+5bdd099819.jar       | fabric_resource_conditions_api_v1        | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-1.3.1+4ea8954419.jar               | fabric_resource_loader_v0                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.25+4228281319.jar                   | fabric_screen_api_v1                     | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-1.3.88+8dbc56dd19.jar           | fabric_screen_handler_api_v1             | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-1.0.23+10b84f8419.jar                    | fabric_sound_api_v1                      | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-5.4.2+a25cb45619.jar                  | fabric_transfer_api_v1                   | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-6.2.0+6c854b6f19.jar    | fabric_transitive_access_wideners_v1     | 
    /META-INF/jars/forgified-fabric-loader-2.5.29+0.16.0+1.21-full.jar          |                                          | 
formations-1.0.4-neoforge-mc1.21.jar                                            | formations                               | formations.mixins.json
formationsnether-1.0.5-mc1.21+.jar                                              | formationsnether                         | formationsnether.mixins.json
formationsoverworld-1.0.5-mc1.21+.jar                                           | formationsoverworld                      | formationsoverworld.mixins.json
framework-neoforge-1.21.1-0.13.1.jar                                            | framework                                | 
ftb-jei-extras-21.1.7.jar                                                       | ftbjeiextras                             | 
ftb-library-neoforge-2101.1.25.jar                                              | ftblibrary                               | ftblibrary-common.mixins.json
ftb-quests-neoforge-2101.1.17.jar                                               | ftbquests                                | ftbquests-common.mixins.json
ftb-teams-neoforge-2101.1.6.jar                                                 | ftbteams                                 | 
ftb-xmod-compat-neoforge-21.1.6.jar                                             | ftbxmodcompat                            | 
fzzy_config-0.7.3+1.21+neoforge.jar                                             | fzzy_config                              | 
    /META-INF/jars/jankson-1.2.3.jar                                            |                                          | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                         |                                          | 
